transaction_id,user_id,transaction_amount,transaction_type,payment_mode,device_type,device_location,account_age_days,transaction_hour,previous_failed_attempts,avg_transaction_amount,is_international,ip_risk_score,login_attempts_last_24h,fraud_label
T1,U1098,26202.09,Transfer,Card,Android,Hyderabad,1854,21,1,25701.29,0,0.064,1,0
T2,U8051,5078.17,Payment,Card,iOS,Delhi,1567,9,2,5806.49,0,0.06,1,0
T3,U6840,5111.91,Payment,UPI,iOS,Bangalore,1283,13,0,4418.22,1,0.205,3,0
T4,U5180,23353.41,Payment,Card,Web,Chennai,1444,11,0,17109.03,0,0.52,1,0
T5,U2358,12531.9,Payment,Card,Web,Delhi,1733,11,0,17643.93,0,0.388,3,0
T6,U4736,6893.69,Payment,Card,iOS,Bangalore,1373,7,1,12994.27,0,0.207,6,0
T7,U5557,20699.73,Withdrawal,NetBanking,Android,Chennai,510,19,0,24006.12,0,0.134,7,0
T8,U2799,3267.74,Transfer,NetBanking,Android,Delhi,1840,9,1,4501.46,0,0.234,2,0
T9,U1573,26930.76,Payment,NetBanking,iOS,Hyderabad,1882,14,0,26915.45,0,0.419,2,0
T10,U8362,24658.75,Payment,UPI,iOS,Delhi,1643,20,0,23375.63,0,0.062,1,0
T11,U8599,12286.58,Transfer,Card,Web,Hyderabad,1360,13,0,14513.72,0,0.238,7,0
T12,U3129,16227.75,Payment,Card,Android,Chennai,1325,18,1,16523.8,0,0.281,3,0
T13,U9947,17624.71,Transfer,UPI,Web,Mumbai,1567,18,0,15504.71,1,0.217,4,0
T14,U4807,30655.32,Transfer,UPI,Android,Bangalore,1711,12,1,29887.76,0,0.152,2,0
T15,U8991,35082.21,Payment,UPI,iOS,Chennai,47,13,4,13293.85,0,0.605,9,1
T16,U9175,1856.3,Transfer,Card,Web,Bangalore,1392,16,3,645.66,1,0.702,6,1
T17,U5293,27905.46,Payment,Card,Android,Mumbai,439,15,0,27011.14,0,0.235,2,0
T18,U5691,50000.0,Payment,UPI,Web,Delhi,17,19,3,12892.1,1,0.727,8,1
T19,U5996,18536.7,Payment,NetBanking,iOS,Hyderabad,1798,20,0,18939.2,0,0.17,2,0
T20,U6451,4943.79,Payment,Wallet,iOS,Mumbai,1853,11,1,9514.1,0,0.115,1,0
T21,U9686,15857.03,Withdrawal,Card,Android,Bangalore,1490,14,0,16917.56,0,0.127,3,0
T22,U1519,15261.85,Transfer,Card,Android,Mumbai,1789,13,0,16649.62,0,0.065,2,0
T23,U8676,1648.37,Transfer,NetBanking,Android,Hyderabad,761,21,0,3078.7,0,0.145,4,0
T24,U7319,11912.09,Transfer,Wallet,iOS,Mumbai,1309,12,1,16685.72,0,0.264,4,0
T25,U6271,7215.91,Payment,UPI,Web,Hyderabad,1772,14,1,10033.24,0,0.392,7,0
T26,U6163,17023.16,Payment,UPI,iOS,Hyderabad,54,2,4,8684.47,1,0.52,7,1
T27,U2893,24818.57,Transfer,NetBanking,iOS,Mumbai,1632,15,1,28144.08,0,0.215,5,0
T28,U2715,8315.13,Transfer,Card,Android,Bangalore,665,11,0,6435.9,0,0.176,2,0
T29,U2626,14024.6,Transfer,UPI,Web,Mumbai,816,14,3,11418.33,0,0.103,1,0
T30,U5857,25655.6,Payment,UPI,Android,Bangalore,1762,20,2,25286.84,0,0.277,1,0
T31,U7153,32795.77,Transfer,Wallet,Web,Delhi,733,8,1,19745.66,0,0.14,2,0
T32,U8248,12312.23,Payment,Card,iOS,Mumbai,784,17,1,12300.27,0,0.118,5,0
T33,U7126,9599.32,Payment,UPI,Web,Mumbai,482,14,0,7325.14,0,0.172,3,0
T34,U5349,31889.72,Payment,NetBanking,Android,Hyderabad,1102,11,0,16280.64,0,0.371,4,0
T35,U1520,4342.86,Withdrawal,Card,Android,Chennai,1314,11,0,3745.67,0,0.586,4,0
T36,U2606,11806.92,Transfer,Card,iOS,Mumbai,1196,12,0,10465.0,0,0.381,1,0
T37,U8643,10757.07,Payment,NetBanking,Android,Chennai,400,19,0,10309.93,0,0.593,3,0
T38,U7103,11545.76,Transfer,NetBanking,Android,Mumbai,10,21,3,3639.97,1,0.747,5,1
T39,U1671,4351.38,Withdrawal,NetBanking,Web,Delhi,769,7,2,3241.26,0,0.098,3,0
T40,U6809,6133.95,Transfer,Card,Android,Delhi,1901,14,0,5152.55,0,0.611,5,0
T41,U9794,4977.23,Payment,Card,Android,Hyderabad,1182,21,2,3949.32,0,0.343,2,0
T42,U7932,5423.99,Payment,Card,iOS,Chennai,1770,21,0,9925.41,1,0.3,2,0
T43,U9511,6435.81,Payment,Card,iOS,Delhi,645,21,0,4797.13,0,0.522,3,0
T44,U5246,19049.48,Withdrawal,Wallet,iOS,Hyderabad,360,7,0,15954.01,1,0.559,1,0
T45,U5669,21009.63,Payment,NetBanking,Web,Chennai,1021,15,2,28184.02,0,0.1,3,0
T46,U9470,4813.28,Payment,UPI,Android,Chennai,329,15,0,4694.59,0,0.146,2,0
T47,U3564,10837.43,Payment,Wallet,iOS,Hyderabad,302,7,0,15580.87,0,0.211,5,0
T48,U9318,50000.0,Payment,UPI,Android,Chennai,25,22,3,18520.18,0,0.929,4,1
T49,U3687,1650.63,Transfer,Card,iOS,Bangalore,866,8,3,2043.1,0,0.064,4,0
T50,U4277,30106.96,Transfer,Card,iOS,Chennai,1510,16,0,18705.51,0,0.385,2,0
T51,U2100,11245.98,Transfer,UPI,Android,Mumbai,531,21,1,12749.21,1,0.319,1,0
T52,U8646,3310.92,Withdrawal,UPI,Web,Bangalore,56,23,2,1905.36,1,0.883,7,1
T53,U7212,23637.09,Payment,Card,Android,Chennai,1784,14,3,29662.12,0,0.166,7,0
T54,U7558,28750.57,Withdrawal,NetBanking,Android,Hyderabad,1516,10,0,20054.55,0,0.085,2,0
T55,U2035,5088.83,Payment,Card,iOS,Hyderabad,675,18,1,7137.82,0,0.157,2,0
T56,U3941,8526.66,Payment,Card,Web,Chennai,1956,18,0,6343.57,0,0.068,5,0
T57,U7131,22935.86,Transfer,Wallet,Android,Mumbai,1141,10,1,26040.13,0,0.187,3,0
T58,U6016,12908.37,Withdrawal,Card,Android,Hyderabad,491,13,0,17553.23,0,0.167,3,0
T59,U3530,6111.03,Payment,UPI,Android,Hyderabad,1569,20,1,11673.16,0,0.291,4,0
T60,U8928,11739.52,Withdrawal,NetBanking,Android,Chennai,766,19,0,10729.71,0,0.226,2,0
T61,U8707,11577.02,Withdrawal,Card,Android,Chennai,1826,20,0,12776.09,0,0.211,3,0
T62,U1790,23779.62,Payment,Wallet,iOS,Bangalore,509,21,0,21403.52,0,0.299,5,0
T63,U7877,15935.55,Withdrawal,Card,Android,Delhi,1872,19,0,17300.33,0,0.237,5,0
T64,U4673,12445.21,Payment,UPI,Android,Chennai,1620,15,1,12887.17,0,0.131,3,0
T65,U8636,38688.97,Payment,NetBanking,iOS,Chennai,356,18,4,25781.33,0,0.26,7,0
T66,U4836,25998.31,Transfer,Card,Web,Chennai,1415,20,0,25203.47,0,0.2,2,0
T67,U6018,7487.65,Transfer,Wallet,iOS,Bangalore,1028,7,1,4470.31,0,0.341,4,0
T68,U2171,10561.64,Payment,Card,Android,Hyderabad,411,7,0,9424.16,0,0.544,1,0
T69,U3971,6746.09,Payment,NetBanking,iOS,Chennai,593,8,1,5796.68,0,0.247,2,0
T70,U1309,5311.21,Transfer,NetBanking,Android,Bangalore,1744,15,0,6607.56,0,0.301,3,0
T71,U7346,11132.91,Withdrawal,Wallet,iOS,Hyderabad,1905,19,0,11613.23,0,0.119,3,0
T72,U1256,16019.23,Transfer,Card,Android,Hyderabad,405,14,0,19307.26,0,0.007,3,0
T73,U7116,3241.69,Payment,Wallet,iOS,Bangalore,558,12,2,3405.14,0,0.413,2,0
T74,U9174,25039.99,Withdrawal,NetBanking,iOS,Chennai,444,20,2,28183.1,0,0.403,1,0
T75,U1712,1312.89,Payment,UPI,iOS,Mumbai,39,12,2,212.75,0,0.72,4,1
T76,U5627,24593.85,Transfer,Card,Android,Mumbai,10,0,1,2403.18,0,0.735,8,1
T77,U5726,24090.39,Payment,UPI,Android,Mumbai,29,18,3,3861.89,1,0.912,6,1
T78,U1371,4287.41,Payment,NetBanking,iOS,Chennai,409,16,0,3820.76,0,0.447,2,0
T79,U7108,2807.85,Withdrawal,Card,Android,Hyderabad,538,15,3,928.97,1,0.758,4,1
T80,U9418,271.7,Payment,Wallet,iOS,Bangalore,468,19,0,284.69,0,0.065,2,0
T81,U3856,28344.24,Payment,NetBanking,iOS,Chennai,1915,21,1,16346.37,1,0.129,5,0
T82,U8646,6201.05,Payment,Wallet,Web,Bangalore,580,7,0,11445.16,0,0.087,3,0
T83,U1468,16604.15,Payment,NetBanking,Android,Hyderabad,617,14,0,15013.55,0,0.29,6,0
T84,U6225,17078.94,Payment,NetBanking,Web,Mumbai,834,7,2,17495.06,0,0.268,1,0
T85,U5823,50000.0,Payment,Wallet,Web,Bangalore,37,7,4,17771.98,1,0.902,5,1
T86,U6234,8266.82,Payment,NetBanking,Web,Hyderabad,643,8,0,8689.9,0,0.346,5,0
T87,U9143,8649.86,Transfer,Card,Android,Bangalore,1450,19,0,8740.86,0,0.32,3,0
T88,U8355,9904.4,Payment,Card,Android,Bangalore,1762,20,0,9284.4,1,0.408,1,0
T89,U3165,23351.7,Payment,Card,Web,Chennai,1361,17,0,18736.02,0,0.104,3,0
T90,U5198,38318.35,Transfer,NetBanking,Android,Mumbai,1086,13,0,21207.91,0,0.418,5,0
T91,U4821,24946.6,Payment,UPI,iOS,Hyderabad,1016,13,2,29596.36,0,0.148,2,0
T92,U5846,6714.85,Payment,UPI,Web,Delhi,1094,9,1,5783.3,0,0.087,1,0
T93,U5169,32630.41,Payment,UPI,Android,Hyderabad,524,19,0,29287.55,0,0.122,4,0
T94,U6301,5344.69,Withdrawal,Wallet,Android,Chennai,1713,13,1,6615.39,0,0.078,9,0
T95,U9690,10329.4,Withdrawal,NetBanking,Android,Bangalore,575,12,2,11103.7,0,0.485,5,0
T96,U9241,5748.93,Transfer,Card,Android,Hyderabad,774,14,0,5076.76,0,0.206,1,0
T97,U4359,18834.01,Payment,UPI,iOS,Chennai,1984,12,1,16737.54,0,0.259,5,0
T98,U9459,22868.8,Transfer,UPI,iOS,Chennai,1895,8,0,18730.85,0,0.136,2,0
T99,U9747,24571.31,Withdrawal,UPI,iOS,Mumbai,196,14,1,28021.52,0,0.121,4,0
T100,U3428,8763.66,Payment,NetBanking,iOS,Delhi,579,7,0,7760.08,0,0.226,9,0
T101,U8995,50000.0,Payment,Card,Web,Hyderabad,30,11,4,15682.03,0,0.631,2,1
T102,U2298,44614.91,Payment,UPI,iOS,Chennai,1511,19,0,27646.11,0,0.031,4,0
